,coef,p_value,conf_low,conf_high
Intercept,5.6752665762736605,0.0002512026532124224,2.7273196591853797,8.623213493361941
C(product_line)[T.Fashion accessories],-0.436664762401789,0.702142508134662,-2.700492884066999,1.827163359263421
C(product_line)[T.Food and beverages],0.006784599887724729,0.9940404572140642,-1.7949527461352381,1.8085219459106876
C(product_line)[T.Health and beauty],0.4999136363580333,0.6117661381699155,-1.4522209803168815,2.452048253032948
C(product_line)[T.Home and lifestyle],-0.23407745013940617,0.8257770397945581,-2.3430812015579554,1.8749263012791428
C(product_line)[T.Sports and travel],0.207189690359751,0.8263548433581482,-1.6658738828067472,2.080253263526249
C(city)[T.Naypyitaw],0.9051383227532596,0.2237960872336672,-0.5639627202971972,2.3742393658037164
C(city)[T.Yangon],0.4202592759340594,0.5931972845127886,-1.1388125857012745,1.9793311375693932
C(customer_type)[T.Normal],0.2896366615161644,0.6431350476186037,-0.9495236035460936,1.5287969265784223
C(gender)[T.Male],-0.4587117522254939,0.4571380101619178,-1.6802813028699548,0.7628577984189672
C(payment)[T.credit card],1.2571719758611866,0.0962731106036838,-0.2293035609505505,2.743647512672924
C(payment)[T.e-wallet],0.7892404074628074,0.29367614286994925,-0.6964869677041372,2.2749677826297523
C(day_of_week)[T.Monday],-0.5831810979262015,0.587673325269706,-2.7146712060433997,1.5483090101909966
C(day_of_week)[T.Saturday],-1.157305504431292,0.30808310063618216,-3.4022689114448736,1.0876579025822892
C(day_of_week)[T.Sunday],-1.6206920933060907,0.14652785555129103,-3.820374664276364,0.5789904776641823
C(day_of_week)[T.Thursday],-0.637771671681342,0.5825298986430103,-2.9369991810882703,1.6614558377255864
C(day_of_week)[T.Tuesday],0.9805987367635658,0.393446443071805,-1.2934992564855108,3.2546967300126424
C(day_of_week)[T.Wednesday],-0.3989242463201522,0.7146502279478395,-2.562275830813456,1.7644273381731512
unit_price,-0.005257736413788511,0.6827967208487534,-0.030765170925362045,0.02024969809778502
